created_at,symbol,direction,session_name,h4_bias,h1_bias,dominant_bias,scenario_type,confirmation_type,confirmation_grade,market_condition,bias_strength,candidate_rank_score,learning_score,entry,sl,tp1,tp2,tp3,risk_pips,tp1_reward_pips,tp2_reward_pips,tp3_reward_pips,tp1_rr,tp2_rr,tp3_rr,reaction_level_present,volatility_at_entry,atr_m15,atr_h1,candle_body_ratio,candle_wick_ratio,displacement_strength,distance_to_psych_level,distance_to_watch_zone,distance_to_invalidation,recent_momentum_3,recent_momentum_5,recent_momentum_10,structure_alignment_score,tp1_hit,sl_hit,final_result,pips_result,outcome_class,target_tp1_before_sl,protected_after_tp1
2025-11-03T19:00:00+00:00,XAUUSD,BUY,off_session,bearish,impulsive,bearish,primary,break_retest_close_confirmation,A,unknown,weak,85.0,80.0,4003.43,3988.42,4020.0,4040.0,4060.0,15.0,16.6,36.6,56.6,1.1,2.44,3.77,0.0,15.0,15.0,30.0,0.5,0.0,0.5,3.4299999999998363,0.0,9.009999999999764,0.0,0.0,0.0,0.0,0,1,LOSS,-15.01,SL_HIT,0,0
2025-11-04T06:30:00+00:00,XAUUSD,SELL,new_york,bearish,impulsive,bearish,primary,break_retest_close_confirmation,A,unknown,strong,90.0,75.0,3979.51,4006.0,3940.0,3920.0,3900.0,26.5,39.5,59.5,79.5,1.49,2.25,3.0,1.0,26.5,26.5,53.0,0.5,0.0,0.5,20.48999999999978,19.51000000000022,20.48999999999978,0.0,0.0,0.0,1.0,0,0,EXPIRED_BEFORE_TP,0.0,EXPIRED,0,0
2025-11-04T13:15:00+00:00,XAUUSD,SELL,off_session,bearish,impulsive,bearish,primary,engulfing_level_confirmation,A,unknown,strong,95.0,75.0,3983.83,4011.84,3940.0,3920.0,3900.0,28.0,43.8,63.8,83.8,1.56,2.28,2.99,1.0,28.0,28.0,56.0,0.5,0.0,0.5,16.170000000000073,17.059999999999945,22.01000000000022,0.0,0.0,0.0,1.0,1,0,EXPIRED_AFTER_TP1,0.0,BREAKEVEN_WIN,1,1
2025-11-05T00:00:00+00:00,XAUUSD,SELL,asia,bearish,reversal_attempt,bearish,primary,break_retest_close_confirmation,A,unknown,strong,90.0,85.0,3939.94,3956.0,3920.0,3900.0,3880.0,16.1,19.9,39.9,59.9,1.24,2.49,3.73,0.0,16.1,16.1,32.2,0.5,0.0,0.5,10.059999999999945,0.0,10.059999999999945,0.0,0.0,0.0,1.0,0,1,LOSS,-16.06,SL_HIT,0,0
2025-11-05T08:00:00+00:00,XAUUSD,SELL,new_york,bearish,reversal_attempt,bearish,primary,break_retest_close_confirmation,A,unknown,strong,100.0,80.0,3982.29,4002.03,3960.0,3940.0,3920.0,19.7,22.3,42.3,62.3,1.13,2.14,3.16,0.0,19.7,19.7,39.4,0.5,0.0,0.5,17.710000000000036,0.0,13.740000000000236,0.0,0.0,0.0,1.0,1,0,BREAKEVEN_WIN,0.0,BREAKEVEN_WIN,1,1
2025-11-06T15:00:00+00:00,XAUUSD,BUY,off_session,neutral,range,neutral,primary,break_retest_close_confirmation,A,unknown,weak,100.0,75.0,3982.61,3971.89,4000.0,4020.0,4040.0,10.7,17.4,37.4,57.4,1.62,3.49,5.35,0.0,10.7,10.7,21.4,0.5,0.0,0.5,17.389999999999873,0.0,4.720000000000255,0.0,0.0,0.0,0.0,0,1,LOSS,-10.72,SL_HIT,0,0
2025-11-06T20:45:00+00:00,XAUUSD,BUY,asia,bullish,impulsive,bullish,primary,break_retest_close_confirmation,A,unknown,strong,85.0,80.0,3980.71,3973.4,4000.0,4020.0,4040.0,7.3,19.3,39.3,59.3,2.64,5.38,8.11,0.0,7.3,7.3,14.6,0.5,0.0,0.5,19.289999999999964,0.0,1.3099999999999454,0.0,0.0,0.0,1.0,1,0,EXPIRED_AFTER_TP1,0.0,BREAKEVEN_WIN,1,1
2025-11-07T12:15:00+00:00,XAUUSD,SELL,off_session,bullish,impulsive,bullish,primary,engulfing_level_confirmation,A,unknown,weak,80.0,75.0,3998.34,4015.41,3980.0,3960.0,3935.0,17.1,18.3,38.3,63.3,1.07,2.25,3.71,0.0,17.1,17.1,34.2,0.5,0.0,0.5,1.6599999999998545,0.0,11.069999999999709,0.0,0.0,0.0,0.0,0,1,LOSS,-17.07,SL_HIT,0,0
2025-11-07T13:00:00+00:00,XAUUSD,SELL,off_session,bullish,impulsive,bullish,primary,break_retest_close_confirmation,A,unknown,weak,70.0,85.0,3995.93,4014.44,3980.0,3960.0,3940.0,18.5,15.9,35.9,55.9,0.86,1.94,3.02,0.0,18.5,18.5,37.0,0.5,0.0,0.5,4.070000000000164,0.0,12.510000000000218,0.0,0.0,0.0,0.0,0,1,LOSS,-18.51,SL_HIT,0,0
2025-11-10T02:15:00+00:00,XAUUSD,BUY,off_session,bullish,impulsive,bullish,primary,break_retest_close_confirmation,A,unknown,strong,90.0,75.0,4041.02,4014.0,4080.0,4100.0,4125.0,27.0,39.0,59.0,84.0,1.44,2.18,3.11,1.0,27.0,27.0,54.0,0.5,0.0,0.5,8.980000000000018,18.980000000000018,21.019999999999982,0.0,0.0,0.0,1.0,1,0,EXPIRED_AFTER_TP1,0.0,BREAKEVEN_WIN,1,1
